time,open,high,low,close
2026.03.02 01:00:00,5300.25,5393.41,5300.25,5386.98
2026.03.02 02:00:00,5387.00,5388.24,5340.99,5347.51
2026.03.02 03:00:00,5347.48,5347.48,5303.19,5324.99
2026.03.02 04:00:00,5324.93,5351.84,5317.04,5346.36
2026.03.02 05:00:00,5346.66,5366.66,5344.52,5366.35
2026.03.02 06:00:00,5366.29,5367.10,5345.29,5355.91
2026.03.02 07:00:00,5355.92,5366.40,5340.72,5366.17
2026.03.02 08:00:00,5366.14,5389.87,5363.68,5387.69
2026.03.02 09:00:00,5387.74,5419.21,5385.00,5408.19
2026.03.02 10:00:00,5408.20,5416.68,5391.33,5394.01
2026.03.02 11:00:00,5394.05,5402.66,5386.08,5392.01
2026.03.02 12:00:00,5392.11,5400.89,5379.08,5389.21
2026.03.02 13:00:00,5389.31,5399.98,5375.20,5385.25
2026.03.02 14:00:00,5385.49,5398.72,5378.86,5397.08
2026.03.02 15:00:00,5397.07,5416.39,5381.90,5393.88
2026.03.02 16:00:00,5393.89,5395.13,5306.56,5333.64
2026.03.02 17:00:00,5333.57,5348.83,5308.29,5315.88
2026.03.02 18:00:00,5315.24,5315.24,5260.39,5290.16
2026.03.02 19:00:00,5290.07,5320.50,5286.92,5306.66
2026.03.02 20:00:00,5306.73,5316.76,5289.60,5315.47
2026.03.02 21:00:00,5315.69,5334.07,5313.93,5330.45
2026.03.02 22:00:00,5330.48,5346.41,5328.33,5332.31
2026.03.02 23:00:00,5333.18,5340.20,5321.61,5321.89
2026.03.03 01:00:00,5323.08,5347.34,5322.59,5345.82
2026.03.03 02:00:00,5345.84,5362.07,5337.00,5350.16
2026.03.03 03:00:00,5350.11,5379.84,5338.13,5339.20
2026.03.03 04:00:00,5339.42,5368.09,5332.85,5366.89
2026.03.03 05:00:00,5366.88,5373.48,5358.97,5367.30
2026.03.03 06:00:00,5367.29,5375.64,5359.36,5361.07
2026.03.03 07:00:00,5361.06,5367.16,5305.18,5319.03
2026.03.03 08:00:00,5319.12,5323.08,5279.06,5310.49
2026.03.03 09:00:00,5310.35,5331.16,5305.90,5327.65
2026.03.03 10:00:00,5327.66,5335.86,5290.24,5295.54
2026.03.03 11:00:00,5295.55,5303.85,5226.26,5275.01
2026.03.03 12:00:00,5274.92,5288.13,5237.94,5248.57
2026.03.03 13:00:00,5248.58,5263.93,5074.05,5144.46
2026.03.03 14:00:00,5144.59,5226.64,5138.42,5224.46
2026.03.03 15:00:00,5224.49,5224.58,5127.27,5156.80
2026.03.03 16:00:00,5156.72,5175.45,5015.95,5038.10
2026.03.03 17:00:00,5038.78,5096.91,4996.08,5095.44
2026.03.03 18:00:00,5095.38,5134.65,5090.49,5106.68
2026.03.03 19:00:00,5107.33,5109.84,5065.18,5079.15
2026.03.03 20:00:00,5079.14,5138.14,5079.03,5136.03
2026.03.03 21:00:00,5135.88,5148.89,5099.33,5113.19
2026.03.03 22:00:00,5113.22,5130.37,5085.88,5097.25
2026.03.03 23:00:00,5096.98,5110.32,5083.51,5088.33
2026.03.04 01:00:00,5101.64,5129.73,5083.86,5125.33
2026.03.04 02:00:00,5125.35,5140.36,5106.00,5138.49
2026.03.04 03:00:00,5138.52,5178.38,5138.45,5174.85
2026.03.04 04:00:00,5174.87,5190.75,5153.99,5156.26
2026.03.04 05:00:00,5156.24,5177.42,5141.24,5174.54
2026.03.04 06:00:00,5174.50,5180.87,5152.33,5156.69
2026.03.04 07:00:00,5156.81,5167.94,5152.06,5159.87
2026.03.04 08:00:00,5159.86,5160.63,5121.36,5160.43
2026.03.04 09:00:00,5160.46,5175.79,5158.23,5168.15
2026.03.04 10:00:00,5168.07,5182.11,5147.74,5167.53
2026.03.04 11:00:00,5167.53,5185.00,5159.11,5182.24
2026.03.04 12:00:00,5182.22,5202.46,5179.49,5189.83
2026.03.04 13:00:00,5189.83,5200.61,5187.60,5192.01
2026.03.04 14:00:00,5192.07,5205.98,5156.31,5171.11
2026.03.04 15:00:00,5171.21,5196.28,5167.53,5167.87
2026.03.04 16:00:00,5167.88,5185.06,5138.63,5144.92
2026.03.04 17:00:00,5144.76,5166.99,5131.21,5151.28
2026.03.04 18:00:00,5151.31,5162.43,5138.31,5149.73
2026.03.04 19:00:00,5149.70,5152.90,5120.20,5141.03
2026.03.04 20:00:00,5141.04,5143.24,5109.11,5133.83
2026.03.04 21:00:00,5134.00,5139.46,5123.34,5137.84
2026.03.04 22:00:00,5137.51,5146.67,5123.63,5134.67
2026.03.04 23:00:00,5134.68,5143.90,5129.61,5141.27
2026.03.05 01:00:00,5146.26,5166.07,5144.62,5165.21
2026.03.05 02:00:00,5165.20,5179.67,5159.39,5172.54
2026.03.05 03:00:00,5172.55,5186.32,5167.39,5172.58
2026.03.05 04:00:00,5172.59,5192.39,5171.71,5192.00
2026.03.05 05:00:00,5191.98,5194.94,5178.28,5180.13
2026.03.05 06:00:00,5180.08,5186.61,5166.23,5171.59
2026.03.05 07:00:00,5171.63,5176.70,5148.34,5148.55
2026.03.05 08:00:00,5148.58,5168.83,5120.81,5167.65
2026.03.05 09:00:00,5167.66,5172.79,5158.92,5162.07
2026.03.05 10:00:00,5162.04,5170.12,5137.58,5165.51
2026.03.05 11:00:00,5165.50,5180.41,5153.78,5160.91
2026.03.05 12:00:00,5160.89,5167.50,5146.26,5164.55
2026.03.05 13:00:00,5164.54,5167.91,5156.94,5163.63
2026.03.05 14:00:00,5163.65,5171.40,5160.84,5162.50
2026.03.05 15:00:00,5162.66,5164.00,5083.83,5117.98
2026.03.05 16:00:00,5118.00,5129.83,5090.83,5102.11
2026.03.05 17:00:00,5101.43,5119.73,5061.86,5102.51
2026.03.05 18:00:00,5102.50,5104.37,5054.20,5077.60
2026.03.05 19:00:00,5077.63,5089.40,5054.95,5062.89
2026.03.05 20:00:00,5062.72,5085.43,5050.85,5069.40
2026.03.05 21:00:00,5069.34,5081.31,5055.94,5065.94
2026.03.05 22:00:00,5065.93,5094.62,5061.67,5076.62
2026.03.05 23:00:00,5076.40,5084.87,5072.09,5080.93
2026.03.06 01:00:00,5082.86,5102.01,5081.89,5086.20
2026.03.06 02:00:00,5086.13,5092.21,5074.16,5084.59
2026.03.06 03:00:00,5084.56,5143.70,5066.27,5134.62
2026.03.06 04:00:00,5134.44,5138.39,5122.08,5126.31
2026.03.06 05:00:00,5126.31,5141.46,5124.38,5131.14
2026.03.06 06:00:00,5131.10,5136.34,5126.21,5127.44
2026.03.06 07:00:00,5127.39,5129.99,5114.02,5117.20
2026.03.06 08:00:00,5117.31,5122.98,5109.18,5115.75
2026.03.06 09:00:00,5115.72,5120.65,5105.69,5119.54
2026.03.06 10:00:00,5119.61,5122.99,5096.31,5108.51
2026.03.06 11:00:00,5108.52,5109.41,5083.40,5085.67
2026.03.06 12:00:00,5085.67,5092.84,5075.75,5091.01
2026.03.06 13:00:00,5091.19,5099.65,5062.77,5076.91
2026.03.06 14:00:00,5076.87,5096.58,5076.14,5083.17
2026.03.06 15:00:00,5083.15,5130.71,5065.49,5084.97
2026.03.06 16:00:00,5085.10,5131.91,5081.04,5130.14
2026.03.06 17:00:00,5130.15,5171.59,5127.81,5141.77
2026.03.06 18:00:00,5141.98,5153.00,5125.97,5139.83
2026.03.06 19:00:00,5139.95,5152.44,5128.82,5140.68
2026.03.06 20:00:00,5140.69,5167.68,5138.63,5161.08
2026.03.06 21:00:00,5161.06,5174.56,5156.61,5159.67
2026.03.06 22:00:00,5159.72,5162.48,5149.45,5153.26
2026.03.06 23:00:00,5152.85,5175.60,5150.86,5173.19
2026.03.09 00:00:00,5178.13,5198.67,5103.63,5129.96
2026.03.09 01:00:00,5129.81,5135.37,5044.44,5076.00
2026.03.09 02:00:00,5076.01,5079.60,5028.44,5049.89
2026.03.09 03:00:00,5049.62,5087.45,5014.75,5070.08
2026.03.09 04:00:00,5070.18,5099.31,5055.54,5094.54
